39, Male, United-States, Adm-clerical, Bachelors, Never-married, State-gov, White
53, Male, United-States, Machine-op-inspct, HS-grad, Married-civ-spouse, Private, White
44, Female, United-States, Exec-managerial, Masters, Divorced, Private, White
41, Male, United-States, Craft-repair, Assoc-voc, Married-civ-spouse, State-gov, White
29, Male, United-States, Prof-specialty, Assoc-voc, Never-married, Private, White
25, Female, United-States, Exec-managerial, Some-college, Married-civ-spouse, Private, Other
47, Female, Honduras, Prof-specialty, Prof-school, Married-civ-spouse, Private, White
50, Male, United-States, Exec-managerial, Bachelors, Divorced, Federal-gov, White
47, Male, United-States, Exec-managerial, HS-grad, Divorced, Self-emp-inc, White
43, Male, United-States, Tech-support, Some-college, Married-civ-spouse, Private, White
46, Male, Mexico, Machine-op-inspct, 5th-6th, Married-civ-spouse, Private, White
35, Male, Puerto-Rico, Other-service, Assoc-voc, Married-civ-spouse, Private, White
41, Male, United-States, Adm-clerical, HS-grad, Married-civ-spouse, Private, White
30, Male, United-States, Machine-op-inspct, HS-grad, Married-civ-spouse, Private, White
30, Male, United-States, Sales, Bachelors, Married-civ-spouse, Private, White
48, Male, United-States, Transport-moving, HS-grad, Married-civ-spouse, Private, White
42, Male, United-States, Prof-specialty, Doctorate, Married-civ-spouse, Private, White
29, Male, United-States, Tech-support, Some-college, Divorced, Private, White
36, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
28, Female, United-States, Adm-clerical, Some-college, Divorced, Private, White
53, Female, United-States, Adm-clerical, HS-grad, Married-civ-spouse, Private, White
49, Male, United-States, Exec-managerial, Some-college, Married-civ-spouse, Self-emp-inc, White
19, Male, United-States, Prof-specialty, Some-college, Never-married, Private, White
31, Female, United-States, Sales, Bachelors, Separated, Private, Black
29, Male, United-States, Sales, Bachelors, Married-civ-spouse, Self-emp-not-inc, White
23, Male, United-States, Machine-op-inspct, Some-college, Never-married, Private, White
79, Male, United-States, Prof-specialty, Some-college, Married-civ-spouse, Private, White
27, Male, Mexico, Other-service, HS-grad, Never-married, Private, White
40, Male, United-States, Adm-clerical, Assoc-acdm, Married-civ-spouse, Private, White
18, Female, United-States, Other-service, 11th, Never-married, Private, White
31, Male, United-States, Farming-fishing, 7th-8th, Married-civ-spouse, Local-gov, White
18, Male, United-States, Sales, HS-grad, Never-married, Private, White
52, Male, Cuba, Other-service, Bachelors, Married-civ-spouse, Private, White
46, Female, United-States, Other-service, HS-grad, Married-civ-spouse, Private, White
59, Male, United-States, Sales, HS-grad, Married-civ-spouse, Private, White
44, Female, United-States, Craft-repair, HS-grad, Divorced, Private, White
53, Female, United-States, Sales, HS-grad, Divorced, Private, White
49, Male, United-States, Protective-serv, HS-grad, Married-civ-spouse, Local-gov, White
33, Male, United-States, Prof-specialty, Masters, Married-civ-spouse, Private, White
30, Male, United-States, Sales, 9th, Never-married, Private, White
43, Female, United-States, Prof-specialty, Doctorate, Never-married, Federal-gov, White
57, Male, United-States, Prof-specialty, Assoc-voc, Married-civ-spouse, Private, White
37, Female, United-States, Craft-repair, Some-college, Divorced, Private, White
28, Female, United-States, Machine-op-inspct, Some-college, Divorced, Private, Black
34, Male, United-States, Protective-serv, Bachelors, Married-civ-spouse, Local-gov, White
29, Male, United-States, Handlers-cleaners, Some-college, Never-married, Local-gov, White
48, Male, United-States, Prof-specialty, Doctorate, Married-civ-spouse, Self-emp-not-inc, White
37, Male, United-States, Sales, Some-college, Married-civ-spouse, Private, White
48, Female, England, Exec-managerial, Assoc-acdm, Divorced, Private, White
32, Male, United-States, Other-service, HS-grad, Never-married, Federal-gov, Black
76, Male, United-States, Exec-managerial, Masters, Married-civ-spouse, Private, White
44, Male, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Private, White
47, Female, United-States, Prof-specialty, Masters, Never-married, Self-emp-not-inc, White
20, Female, United-States, Tech-support, Some-college, Never-married, Private, White
29, Male, United-States, Craft-repair, HS-grad, Never-married, Private, White
32, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Self-emp-inc, White
30, Male, United-States, Handlers-cleaners, 11th, Never-married, Private, White
31, Female, United-States, Adm-clerical, HS-grad, Never-married, Local-gov, White
42, Male, United-States, Handlers-cleaners, HS-grad, Married-civ-spouse, Private, White
24, Male, United-States, Sales, Bachelors, Never-married, Private, White
38, Male, United-States, Prof-specialty, Prof-school, Married-civ-spouse, Private, White
56, Male, Canada, Other-service, HS-grad, Married-civ-spouse, Self-emp-not-inc, White
28, Female, United-States, Sales, Some-college, Married-civ-spouse, Private, White
36, Female, United-States, Machine-op-inspct, HS-grad, Never-married, Private, White
53, Male, United-States, Handlers-cleaners, 9th, Married-civ-spouse, Private, White
56, Male, United-States, Sales, Some-college, Married-civ-spouse, Self-emp-inc, White
49, Male, United-States, Craft-repair, Assoc-voc, Married-civ-spouse, Local-gov, Black
55, Male, United-States, Sales, Some-college, Married-civ-spouse, Private, White
22, Male, United-States, Craft-repair, HS-grad, Never-married, Private, White
21, Female, United-States, Other-service, Some-college, Never-married, Private, White
40, Male, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Private, White
30, Male, Germany, Exec-managerial, Bachelors, Never-married, Private, Black
29, Male, United-States, Prof-specialty, Bachelors, Married-civ-spouse, State-gov, White
19, Male, United-States, Other-service, Some-college, Never-married, Private, Black
47, Female, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Private, White
20, Female, United-States, Adm-clerical, Some-college, Never-married, Private, White
31, Male, United-States, Adm-clerical, Assoc-acdm, Married-civ-spouse, Private, White
39, Male, United-States, Craft-repair, Some-college, Divorced, Private, White
28, Female, United-States, Sales, Assoc-acdm, Never-married, Private, White
24, Female, United-States, Other-service, HS-grad, Never-married, Private, White
38, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Self-emp-not-inc, White
37, Male, United-States, Sales, Bachelors, Married-civ-spouse, Private, White
46, Female, United-States, Tech-support, Assoc-acdm, Divorced, Private, Black
38, Male, Iran, Prof-specialty, Masters, Married-civ-spouse, Federal-gov, White
43, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Self-emp-not-inc, White
27, Female, United-States, Adm-clerical, Assoc-voc, Married-civ-spouse, Private, White
20, Male, United-States, Sales, Some-college, Never-married, Private, White
49, Male, United-States, Craft-repair, Some-college, Married-civ-spouse, Private, Asian-Pac-Islander
61, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Self-emp-inc, White
27, Female, United-States, Sales, Some-college, Never-married, Private, White
19, Male, Mexico, Other-service, Some-college, Never-married, Private, White
45, Female, United-States, Prof-specialty, Assoc-voc, Never-married, Private, White
70, Male, United-States, Tech-support, Some-college, Never-married, Private, White
31, Female, United-States, Transport-moving, HS-grad, Never-married, Private, Black
22, Male, United-States, Other-service, Some-college, Married-civ-spouse, Private, White
36, Female, United-States, Other-service, HS-grad, Widowed, Private, White
64, Male, United-States, Craft-repair, 11th, Married-civ-spouse, Private, White
47, Female, Mexico, Adm-clerical, Some-college, Divorced, Local-gov, White
34, Female, United-States, Adm-clerical, HS-grad, Never-married, Private, White
33, Female, Philippines, Exec-managerial, Bachelors, Never-married, Private, Asian-Pac-Islander
21, Male, United-States, Craft-repair, HS-grad, Never-married, Private, White
48, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
23, Male, United-States, Handlers-cleaners, Bachelors, Never-married, Private, White
71, Male, United-States, Sales, Some-college, Separated, Self-emp-not-inc, Black
29, Male, United-States, Craft-repair, HS-grad, Divorced, Private, White
42, Male, United-States, Other-service, Bachelors, Separated, Private, Black
25, Female, United-States, Other-service, HS-grad, Never-married, Private, White
44, Female, United-States, Exec-managerial, Masters, Divorced, Self-emp-inc, Asian-Pac-Islander
28, Female, England, Exec-managerial, HS-grad, Never-married, Private, Asian-Pac-Islander
45, Male, United-States, Sales, Masters, Married-civ-spouse, Self-emp-not-inc, White
36, Female, Mexico, Other-service, Some-college, Divorced, Private, White
39, Male, United-States, Exec-managerial, Assoc-acdm, Never-married, Federal-gov, White
46, Male, United-States, Protective-serv, Masters, Widowed, State-gov, White
18, Male, United-States, Handlers-cleaners, 11th, Never-married, Private, White
66, Female, United-States, Prof-specialty, Assoc-voc, Widowed, Local-gov, White
27, Male, United-States, Other-service, HS-grad, Never-married, Private, White
28, Male, United-States, Protective-serv, HS-grad, Married-civ-spouse, State-gov, White
51, Male, United-States, Sales, Some-college, Married-civ-spouse, Private, White
27, Male, United-States, Craft-repair, Bachelors, Never-married, Private, White
28, Male, United-States, Prof-specialty, Bachelors, Married-civ-spouse, State-gov, White
27, Female, United-States, Sales, HS-grad, Married-spouse-absent, Private, White
21, Male, United-States, Craft-repair, HS-grad, Never-married, Private, Black
34, Male, United-States, Handlers-cleaners, HS-grad, Never-married, Private, Black
18, Male, United-States, Other-service, HS-grad, Never-married, Private, White
33, Male, United-States, Prof-specialty, Bachelors, Married-civ-spouse, Private, White
44, Male, United-States, Exec-managerial, Some-college, Married-civ-spouse, Local-gov, Black
43, Female, United-States, Adm-clerical, Some-college, Divorced, Private, White
30, Male, United-States, Craft-repair, Some-college, Never-married, Private, Black
40, Male, Mexico, Machine-op-inspct, 7th-8th, Married-civ-spouse, Private, White
37, Male, United-States, Adm-clerical, Some-college, Married-civ-spouse, Federal-gov, White
34, Male, United-States, Adm-clerical, HS-grad, Married-civ-spouse, Private, Black
41, Female, United-States, Exec-managerial, Bachelors, Divorced, Self-emp-not-inc, White
31, Female, United-States, Prof-specialty, Masters, Married-civ-spouse, Private, White
58, Male, United-States, Prof-specialty, Doctorate, Married-civ-spouse, State-gov, White
38, Female, United-States, Machine-op-inspct, Some-college, Divorced, Private, Black
24, Male, United-States, Machine-op-inspct, Some-college, Married-civ-spouse, Private, White
41, Male, United-States, Craft-repair, Bachelors, Married-civ-spouse, Local-gov, Black
47, Male, United-States, Tech-support, Some-college, Married-civ-spouse, Private, White
41, Male, United-States, Tech-support, Bachelors, Married-civ-spouse, Federal-gov, White
23, Male, Mexico, Transport-moving, 5th-6th, Married-civ-spouse, Private, White
36, Male, United-States, Craft-repair, Some-college, Divorced, Private, White
40, Female, United-States, Exec-managerial, Masters, Never-married, Federal-gov, White
35, Male, United-States, Prof-specialty, Masters, Married-civ-spouse, Private, White
24, Male, United-States, Sales, HS-grad, Never-married, Self-emp-not-inc, White
26, Female, United-States, Prof-specialty, Masters, Never-married, Private, White
51, Male, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Private, White
42, Female, United-States, Prof-specialty, Some-college, Never-married, Local-gov, White
37, Female, United-States, Adm-clerical, HS-grad, Divorced, State-gov, White
18, Female, United-States, Sales, 11th, Never-married, Private, White
36, Male, United-States, Other-service, Bachelors, Married-civ-spouse, Private, Black
35, Male, United-States, Craft-repair, HS-grad, Divorced, Private, White
58, Female, United-States, Sales, HS-grad, Married-civ-spouse, Self-emp-inc, White
17, Female, United-States, Sales, 11th, Never-married, Private, White
44, Male, United-States, Transport-moving, HS-grad, Married-civ-spouse, Local-gov, Black
37, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
35, Female, United-States, Sales, Some-college, Never-married, Private, Amer-Indian-Eskimo
60, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, Asian-Pac-Islander
54, Male, United-States, Machine-op-inspct, 7th-8th, Married-civ-spouse, Self-emp-inc, White
37, Male, United-States, Exec-managerial, Bachelors, Never-married, Private, Black
50, Female, United-States, Sales, Assoc-acdm, Divorced, Private, White
38, Male, Poland, Sales, Bachelors, Married-civ-spouse, Private, White
45, Male, United-States, Prof-specialty, Bachelors, Married-civ-spouse, Private, White
25, Male, United-States, Craft-repair, 10th, Never-married, Private, White
31, Male, United-States, Handlers-cleaners, Some-college, Married-civ-spouse, Private, White
90, Male, United-States, Other-service, HS-grad, Never-married, Private, Black
54, Male, United-States, Adm-clerical, HS-grad, Married-civ-spouse, Private, Black
53, Female, United-States, Machine-op-inspct, Preschool, Never-married, Local-gov, White
18, Female, United-States, Sales, HS-grad, Never-married, Private, White
66, Male, United-States, Farming-fishing, HS-grad, Married-civ-spouse, Self-emp-not-inc, White
75, Female, Columbia, Adm-clerical, Assoc-voc, Widowed, Private, White
65, Female, United-States, Adm-clerical, HS-grad, Divorced, Private, White
35, Male, United-States, Transport-moving, 11th, Separated, Private, Black
41, Female, United-States, Sales, HS-grad, Divorced, Private, Black
25, Male, United-States, Adm-clerical, Some-college, Never-married, Private, White
33, Female, United-States, Craft-repair, Some-college, Divorced, Private, Other
28, Male, United-States, Prof-specialty, Prof-school, Never-married, Private, White
59, Male, United-States, Other-service, HS-grad, Married-civ-spouse, State-gov, White
40, Female, United-States, Adm-clerical, Some-college, Never-married, State-gov, White
41, Male, Iran, Exec-managerial, Bachelors, Married-civ-spouse, Private, White
38, Male, United-States, Exec-managerial, Masters, Married-civ-spouse, Local-gov, White
23, Male, United-States, Transport-moving, HS-grad, Never-married, Private, White
40, Male, United-States, Prof-specialty, Bachelors, Married-civ-spouse, Private, White
41, Female, United-States, Other-service, HS-grad, Married-civ-spouse, Self-emp-not-inc, White
24, Male, United-States, Protective-serv, Assoc-acdm, Married-civ-spouse, State-gov, White
38, Male, United-States, Craft-repair, Some-college, Divorced, Private, White
58, Male, United-States, Adm-clerical, HS-grad, Married-civ-spouse, Private, White
32, Female, United-States, Other-service, HS-grad, Never-married, Private, White
40, Male, United-States, Tech-support, Assoc-acdm, Married-civ-spouse, Private, White
41, Female, United-States, Prof-specialty, Prof-school, Married-civ-spouse, Private, White
42, Female, United-States, Adm-clerical, Bachelors, Married-civ-spouse, Private, Black
59, Female, United-States, Other-service, 10th, Widowed, Local-gov, Black
19, Male, United-States, Adm-clerical, Some-college, Never-married, Local-gov, White
58, Male, United-States, Transport-moving, Some-college, Never-married, Private, White
42, Male, Cambodia, Farming-fishing, HS-grad, Married-civ-spouse, Self-emp-not-inc, Asian-Pac-Islander
20, Female, United-States, Other-service, HS-grad, Never-married, Private, White
32, Female, United-States, Other-service, HS-grad, Separated, Private, White
45, Female, United-States, Exec-managerial, Assoc-voc, Widowed, Private, White
50, Male, United-States, Craft-repair, 7th-8th, Divorced, Private, White
36, Female, United-States, Prof-specialty, Bachelors, Divorced, Private, White
45, Male, United-States, Sales, HS-grad, Married-civ-spouse, Private, White
17, Male, United-States, Other-service, 11th, Never-married, Private, White
59, Male, United-States, Sales, Some-college, Married-civ-spouse, Private, White
26, Male, United-States, Craft-repair, 11th, Married-civ-spouse, Private, White
37, Male, Thailand, Exec-managerial, Some-college, Married-civ-spouse, Self-emp-inc, Asian-Pac-Islander
64, Male, United-States, Exec-managerial, HS-grad, Married-civ-spouse, Private, White
33, Female, United-States, Prof-specialty, Bachelors, Never-married, Private, White
33, Female, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
61, Male, United-States, Exec-managerial, HS-grad, Married-civ-spouse, Private, White
17, Male, United-States, Other-service, 9th, Never-married, Private, White
50, Male, United-States, Farming-fishing, Masters, Married-civ-spouse, Self-emp-not-inc, White
27, Male, United-States, Prof-specialty, Masters, Never-married, Local-gov, White
30, Female, United-States, Prof-specialty, HS-grad, Divorced, Private, White
43, Male, United-States, Handlers-cleaners, HS-grad, Married-civ-spouse, Private, Black
44, Male, United-States, Craft-repair, Some-college, Married-civ-spouse, Private, White
35, Female, United-States, Exec-managerial, Some-college, Never-married, Private, White
25, Female, United-States, Tech-support, Some-college, Never-married, Private, White
24, Female, United-States, Machine-op-inspct, Some-college, Married-civ-spouse, Private, White
22, Female, Germany, Prof-specialty, Bachelors, Never-married, Private, White
42, Male, United-States, Craft-repair, Some-college, Married-civ-spouse, Local-gov, White
34, Female, United-States, Sales, Assoc-acdm, Divorced, Private, Black
60, Female, United-States, Prof-specialty, Bachelors, Divorced, Private, White
21, Male, United-States, Handlers-cleaners, HS-grad, Never-married, Private, White
57, Male, United-States, Sales, Masters, Married-civ-spouse, Federal-gov, White
41, Male, United-States, Prof-specialty, Prof-school, Married-civ-spouse, Private, White
50, Male, United-States, Other-service, Some-college, Divorced, Private, White
25, Female, United-States, Exec-managerial, Bachelors, Never-married, Private, White
50, Male, Ecuador, Craft-repair, 7th-8th, Married-civ-spouse, Private, White
36, Male, United-States, Prof-specialty, Bachelors, Married-civ-spouse, Private, White
31, Female, United-States, Prof-specialty, HS-grad, Divorced, Private, White
29, Male, United-States, Protective-serv, Bachelors, Never-married, Local-gov, White
21, Male, United-States, Sales, Some-college, Never-married, Private, White
27, Female, United-States, Tech-support, Bachelors, Never-married, Private, Black
65, Male, United-States, Transport-moving, HS-grad, Married-civ-spouse, Private, White
37, Female, United-States, Sales, Bachelors, Divorced, Self-emp-inc, White
24, Male, United-States, Craft-repair, HS-grad, Never-married, Private, White
38, Male, United-States, Sales, HS-grad, Divorced, Private, White
48, Male, United-States, Adm-clerical, Bachelors, Married-civ-spouse, Private, White
21, Female, United-States, Other-service, Some-college, Never-married, Private, Asian-Pac-Islander
31, Male, United-States, Transport-moving, HS-grad, Married-civ-spouse, Private, White
55, Male, United-States, Sales, HS-grad, Married-civ-spouse, Private, White
24, Female, Laos, Adm-clerical, Some-college, Married-civ-spouse, Private, Asian-Pac-Islander
43, Female, United-States, Adm-clerical, HS-grad, Divorced, Private, White
26, Male, United-States, Tech-support, Assoc-acdm, Never-married, Private, White
46, Female, United-States, Prof-specialty, Assoc-acdm, Never-married, Private, White
35, Male, United-States, Adm-clerical, Assoc-acdm, Married-civ-spouse, Private, White
41, Male, United-States, Farming-fishing, Some-college, Married-civ-spouse, Self-emp-inc, White
26, Male, United-States, Sales, Bachelors, Never-married, Private, White
34, Male, Taiwan, Exec-managerial, Masters, Married-civ-spouse, Private, Asian-Pac-Islander
36, Female, United-States, Prof-specialty, Bachelors, Divorced, Self-emp-not-inc, Black
22, Male, United-States, Sales, Some-college, Never-married, Private, White
24, Male, United-States, Machine-op-inspct, Some-college, Never-married, Private, White
77, Male, United-States, Sales, Some-college, Married-civ-spouse, Self-emp-not-inc, White
22, Female, Mexico, Machine-op-inspct, 5th-6th, Married-civ-spouse, Private, White
29, Female, United-States, Tech-support, Some-college, Never-married, Private, White
62, Female, United-States, Other-service, HS-grad, Widowed, Private, White
39, Male, United-States, Exec-managerial, HS-grad, Married-civ-spouse, Self-emp-not-inc, White
43, Male, United-States, Craft-repair, Some-college, Married-civ-spouse, Private, White
35, Male, United-States, Transport-moving, HS-grad, Divorced, Private, White
29, Female, United-States, Exec-managerial, 11th, Never-married, Private, White
76, Male, United-States, Craft-repair, Masters, Married-civ-spouse, Self-emp-not-inc, White
63, Male, United-States, Farming-fishing, HS-grad, Married-civ-spouse, Self-emp-not-inc, White
43, Female, United-States, Prof-specialty, Some-college, Married-civ-spouse, Private, White
58, Male, United-States, Handlers-cleaners, HS-grad, Married-civ-spouse, Self-emp-not-inc, White
66, Male, United-States, Transport-moving, HS-grad, Never-married, Private, White
41, Male, United-States, Craft-repair, Some-college, Never-married, Private, Black
26, Male, United-States, Adm-clerical, Bachelors, Never-married, Private, White
47, Male, United-States, Other-service, Assoc-voc, Never-married, Private, White
55, Male, United-States, Adm-clerical, 10th, Married-civ-spouse, Local-gov, White
53, Male, United-States, Transport-moving, HS-grad, Married-civ-spouse, Private, White
17, Male, Mexico, Other-service, 5th-6th, Never-married, Private, White
30, Male, United-States, Craft-repair, HS-grad, Never-married, Private, White
49, Male, United-States, Prof-specialty, Masters, Never-married, Private, White
19, Male, Haiti, Sales, HS-grad, Never-married, Private, Black
45, Male, United-States, Other-service, HS-grad, Married-civ-spouse, Private, Black
26, Male, United-States, Sales, Assoc-acdm, Never-married, Private, White
38, Male, United-States, Craft-repair, Assoc-voc, Married-civ-spouse, Private, White
36, Male, United-States, Protective-serv, HS-grad, Married-civ-spouse, State-gov, White
33, Male, United-States, Farming-fishing, HS-grad, Never-married, Private, White
22, Female, United-States, Protective-serv, Some-college, Never-married, State-gov, Black
43, Male, United-States, Sales, Bachelors, Never-married, Self-emp-not-inc, White
56, Male, Iran, Other-service, Assoc-acdm, Married-spouse-absent, Private, White
31, Male, United-States, Prof-specialty, Bachelors, Never-married, Private, White
33, Male, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Private, White
26, Male, United-States, Other-service, HS-grad, Married-civ-spouse, Private, White
33, Male, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Private, White
46, Male, United-States, Transport-moving, 11th, Married-civ-spouse, Local-gov, White
38, Male, United-States, Adm-clerical, HS-grad, Married-civ-spouse, Federal-gov, White
65, Male, United-States, Other-service, 11th, Widowed, Private, Other
40, Male, United-States, Tech-support, Assoc-voc, Married-civ-spouse, Private, White
42, Female, United-States, Adm-clerical, HS-grad, Married-civ-spouse, Private, White
26, Male, Portugal, Craft-repair, 9th, Married-civ-spouse, Self-emp-not-inc, White
36, Female, United-States, Other-service, 10th, Married-civ-spouse, Private, White
62, Male, United-States, Prof-specialty, Masters, Married-civ-spouse, Private, White
43, Male, United-States, Transport-moving, Bachelors, Married-civ-spouse, Private, White
43, Male, United-States, Exec-managerial, Bachelors, Divorced, Private, White
22, Male, United-States, Sales, HS-grad, Married-spouse-absent, Private, White
28, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
56, Male, United-States, Sales, Some-college, Married-civ-spouse, Self-emp-not-inc, White
22, Female, United-States, Sales, Assoc-acdm, Never-married, Private, White
57, Female, United-States, Exec-managerial, Bachelors, Divorced, Private, White
39, Female, United-States, Sales, HS-grad, Divorced, Private, White
26, Female, United-States, Adm-clerical, Some-college, Never-married, Federal-gov, White
17, Male, United-States, Other-service, 11th, Never-married, Private, White
40, Male, United-States, Machine-op-inspct, Assoc-voc, Married-civ-spouse, State-gov, White
45, Male, United-States, Machine-op-inspct, HS-grad, Married-civ-spouse, Private, Black
44, Male, United-States, Craft-repair, HS-grad, Never-married, Private, Black
20, Female, United-States, Adm-clerical, Some-college, Never-married, Local-gov, White
33, Female, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
23, Male, United-States, Sales, Some-college, Never-married, Private, White
46, Male, United-States, Exec-managerial, Masters, Divorced, Self-emp-not-inc, White
38, Male, United-States, Sales, HS-grad, Married-civ-spouse, Private, White
54, Male, United-States, Transport-moving, HS-grad, Divorced, Private, White
46, Female, United-States, Craft-repair, 5th-6th, Divorced, Private, White
25, Male, United-States, Craft-repair, Some-college, Married-civ-spouse, Private, White
46, Female, United-States, Sales, Some-college, Divorced, Private, White
36, Female, United-States, Transport-moving, Some-college, Married-civ-spouse, Local-gov, White
23, Female, United-States, Other-service, HS-grad, Never-married, Private, White
29, Male, United-States, Machine-op-inspct, HS-grad, Separated, Private, White
44, Female, United-States, Adm-clerical, Some-college, Married-civ-spouse, Private, White
19, Female, United-States, Adm-clerical, Some-college, Never-married, Private, White
19, Female, United-States, Other-service, HS-grad, Never-married, Private, White
35, Female, United-States, Other-service, HS-grad, Married-civ-spouse, Private, White
27, Male, United-States, Craft-repair, Bachelors, Never-married, Private, White
46, Male, United-States, Craft-repair, Assoc-acdm, Separated, Self-emp-not-inc, White
34, Female, United-States, Other-service, HS-grad, Never-married, Private, White
44, Male, United-States, Tech-support, Some-college, Married-civ-spouse, Private, White
45, Female, United-States, Handlers-cleaners, Some-college, Divorced, Private, White
25, Male, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Private, White
52, Male, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Self-emp-inc, White
20, Male, United-States, Handlers-cleaners, Some-college, Never-married, Private, White
28, Female, United-States, Other-service, Some-college, Never-married, Private, White
50, Male, United-States, Protective-serv, Bachelors, Married-civ-spouse, State-gov, White
34, Female, United-States, Tech-support, Assoc-voc, Divorced, Private, White
28, Male, Puerto-Rico, Handlers-cleaners, 7th-8th, Married-civ-spouse, Private, Other
41, Male, United-States, Exec-managerial, Masters, Married-civ-spouse, Private, White
28, Male, United-States, Adm-clerical, HS-grad, Married-civ-spouse, Private, White
46, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Self-emp-not-inc, White
32, Male, United-States, Exec-managerial, Some-college, Married-civ-spouse, Private, White
41, Female, United-States, Other-service, Some-college, Divorced, Local-gov, Black
24, Female, United-States, Handlers-cleaners, HS-grad, Never-married, Private, Black
33, Female, United-States, Exec-managerial, Some-college, Divorced, Private, White
46, Male, United-States, Exec-managerial, Doctorate, Married-civ-spouse, Private, White
31, Male, United-States, Machine-op-inspct, Some-college, Married-civ-spouse, State-gov, White
35, Male, United-States, Craft-repair, 12th, Divorced, Private, White
52, Male, Mexico, Machine-op-inspct, 1st-4th, Married-civ-spouse, Private, White
